1,Province/State,Country/Region,Unnamed: 3,First confirmed date in country (Est.),Lat,Long,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,1/31/2020 7:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM,2/4/2020 9:40 AM,2/4/2020 10:00 PM,2/5/2020 9:00 AM,2/5/2020 11:00 PM,2/6/2020 9:00 AM,2/6/2020 2:20 PM,2/7/2020 8:13 PM
15.0,Hunan,Mainland China,,1/3/2020,27.610409999999998,111.7088,1.0,4.0,9.0,24.0,24.0,43.0,43.0,69.0,69.0,100.0,100.0,100.0,100.0,143.0,143.0,221.0,221.0,221.0,277.0,277.0,332.0,332.0,389.0,521.0,521.0,593.0,661.0,661.0,711.0,711.0,711.0,772.0
16.0,Inner Mongolia,Mainland China,,1/3/2020,44.09448,113.9456,,,,1.0,1.0,2.0,7.0,7.0,7.0,11.0,11.0,11.0,11.0,15.0,15.0,16.0,16.0,16.0,16.0,19.0,20.0,20.0,23.0,27.0,34.0,34.0,42.0,42.0,46.0,46.0,46.0,50.0
17.0,Jiangsu,Mainland China,,1/3/2020,32.97027,119.464,,1.0,5.0,9.0,9.0,18.0,18.0,31.0,33.0,47.0,47.0,47.0,70.0,70.0,70.0,99.0,99.0,99.0,129.0,129.0,168.0,168.0,202.0,271.0,308.0,308.0,341.0,341.0,373.0,373.0,373.0,408.0
18.0,Jiangxi,Mainland China,,1/3/2020,27.614009999999997,115.7221,2.0,2.0,7.0,7.0,18.0,18.0,18.0,36.0,36.0,48.0,48.0,72.0,72.0,72.0,109.0,109.0,109.0,109.0,162.0,162.0,240.0,240.0,286.0,391.0,391.0,476.0,548.0,548.0,600.0,600.0,600.0,661.0
19.0,Jilin,Mainland China,,1/3/2020,43.66657,126.1917,,,1.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,8.0,8.0,9.0,9.0,9.0,14.0,14.0,14.0,14.0,17.0,31.0,42.0,42.0,54.0,54.0,59.0,59.0,59.0,65.0
20.0,Liaoning,Mainland China,,1/3/2020,41.292840000000005,122.6086,,2.0,3.0,4.0,4.0,15.0,17.0,19.0,21.0,23.0,27.0,27.0,27.0,34.0,34.0,36.0,39.0,39.0,39.0,41.0,48.0,60.0,63.0,70.0,74.0,74.0,81.0,88.0,89.0,91.0,94.0,99.0
21.0,Ningxia,Mainland China,,1/3/2020,37.26923,106.1655,,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,7.0,7.0,7.0,11.0,11.0,12.0,12.0,12.0,12.0,17.0,21.0,21.0,26.0,28.0,31.0,34.0,34.0,34.0,40.0,40.0,40.0,43.0
22.0,Qinghai,Mainland China,,1/3/2020,35.65945,96.02564,,,,,,,1.0,1.0,1.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,9.0,11.0,13.0,15.0,17.0,17.0,18.0,18.0,18.0,18.0
23.0,Shaanxi,Mainland China,,1/3/2020,35.19165,108.8701,,,3.0,3.0,5.0,5.0,15.0,15.0,22.0,22.0,35.0,35.0,35.0,46.0,46.0,56.0,56.0,56.0,56.0,63.0,87.0,87.0,101.0,116.0,128.0,142.0,165.0,165.0,173.0,173.0,173.0,184.0
24.0,Shandong,Mainland China,,1/3/2020,36.34377,118.1529,1.0,2.0,6.0,9.0,15.0,21.0,27.0,39.0,46.0,63.0,75.0,75.0,87.0,95.0,95.0,121.0,130.0,130.0,145.0,158.0,184.0,184.0,206.0,246.0,270.0,270.0,298.0,307.0,343.0,347.0,347.0,386.0
25.0,Shanghai,Mainland China,,1/3/2020,31.20327,121.4554,9.0,9.0,16.0,20.0,20.0,33.0,33.0,40.0,40.0,53.0,53.0,53.0,66.0,66.0,66.0,80.0,96.0,96.0,101.0,112.0,135.0,153.0,169.0,193.0,208.0,208.0,233.0,243.0,254.0,257.0,257.0,277.0
26.0,Shanxi,Mainland China,,1/3/2020,37.577690000000004,112.2922,,1.0,1.0,1.0,1.0,6.0,6.0,9.0,9.0,13.0,13.0,13.0,20.0,20.0,27.0,27.0,27.0,27.0,35.0,35.0,39.0,47.0,47.0,66.0,74.0,74.0,81.0,81.0,90.0,90.0,90.0,96.0
27.0,Sichuan,Mainland China,,1/3/2020,30.617140000000003,102.7103,2.0,5.0,8.0,15.0,15.0,28.0,28.0,44.0,44.0,69.0,69.0,69.0,90.0,90.0,90.0,108.0,108.0,108.0,142.0,142.0,177.0,177.0,207.0,254.0,254.0,282.0,301.0,301.0,321.0,321.0,321.0,344.0
28.0,Tianjin,Mainland China,,1/3/2020,39.293620000000004,117.333,2.0,4.0,4.0,5.0,8.0,8.0,10.0,13.0,14.0,14.0,22.0,23.0,23.0,24.0,24.0,25.0,27.0,27.0,27.0,31.0,32.0,32.0,38.0,48.0,60.0,60.0,67.0,69.0,69.0,78.0,78.0,81.0
29.0,Tibet,Mainland China,,1/3/2020,30.1534,88.7879,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30.0,Xinjiang,Mainland China,,1/3/2020,41.11981,85.17822,,,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,13.0,13.0,13.0,14.0,14.0,17.0,17.0,18.0,24.0,24.0,29.0,32.0,32.0,36.0,36.0,36.0,39.0
31.0,Yunnan,Mainland China,,1/3/2020,24.97411,101.4868,1.0,1.0,2.0,2.0,5.0,5.0,11.0,11.0,16.0,19.0,26.0,26.0,26.0,44.0,44.0,44.0,55.0,55.0,55.0,70.0,83.0,83.0,91.0,105.0,117.0,117.0,122.0,124.0,128.0,133.0,133.0,138.0
